1 change detected
1 change detected
['2024-08-02T14:15:32.390497', '{"userid":2490720753}']
['2024-08-02T14:15:32.589196', '{"userid":7237083622}']
['2024-08-02T14:15:32.787343', '{"userid":2754319113}']
['2024-08-02T14:15:32.987733', '{"userid":2490720753}']
['2024-08-02T14:15:33.189657', '{"userid":7237083622}']
['2024-08-02T14:15:33.390657', '{"userid":2490720753}']
['2024-08-02T14:15:33.588713', '{"userid":2490720753}']
['2024-08-02T14:15:33.791033', '{"userid":2490720753}']
['2024-08-02T14:15:33.989568', '{"userid":7237083622}']
['2024-08-02T14:15:34.189548', '{"userid":2754319113}']
['2024-08-02T14:15:34.389545', '{"userid":7237083622}']
['2024-08-02T14:15:34.590092', '{"userid":2754319113}']
['2024-08-02T14:15:34.789546', '{"userid":7237083622}']
['2024-08-02T14:15:34.990326', '{"userid":2490720753}']
['2024-08-02T14:15:35.190685', '{"userid":7237083622}']
['2024-08-02T14:15:35.389710', '{"userid":2754319113}']
['2024-08-02T14:15:35.589548', '{"userid":2490720753}']
['2024-08-02T14:15:35.789953', '{"userid":2754319113}']
['2024-08-02T14:15:35.990393', '{"userid":7237083622}']
['2024-08-02T14:15:36.189875', '{"userid":2490720753}']
['2024-08-02T14:15:36.389650', '{"userid":7237083622}']
['2024-08-02T14:15:36.589931', '{"userid":2754319113}']
['2024-08-02T14:15:36.789559', '{"userid":7237083622}']
['2024-08-02T14:15:36.989694', '{"userid":2754319113}']
['2024-08-02T14:15:37.189770', '{"userid":2490720753}']
['2024-08-02T14:15:37.389304', '{"userid":2754319113}']
['2024-08-02T14:15:37.590919', '{"userid":7237083622}']
['2024-08-02T14:15:37.789257', '{"userid":2754319113}']
['2024-08-02T14:15:37.987846', '{"userid":7237083622}']
['2024-08-02T14:15:38.189741', '{"userid":7237083622}']
['2024-08-02T14:15:38.390994', '{"userid":2754319113}']
['2024-08-02T14:15:38.590061', '{"userid":7237083622}']
['2024-08-02T14:15:38.789353', '{"userid":2490720753}']
['2024-08-02T14:15:38.988458', '{"userid":2490720753}']
['2024-08-02T14:15:39.189457', '{"userid":2490720753}']
['2024-08-02T14:15:39.389298', '{"userid":2754319113}']
['2024-08-02T14:15:39.588989', '{"userid":2490720753}']
['2024-08-02T14:15:39.789373', '{"userid":2490720753}']
['2024-08-02T14:15:39.992167', '{"userid":2754319113}']
['2024-08-02T14:15:40.189332', '{"userid":2754319113}']
['2024-08-02T14:15:40.389987', '{"userid":2754319113}']
['2024-08-02T14:15:40.590403', '{"userid":2490720753}']
['2024-08-02T14:15:40.789004', '{"userid":2754319113}']
['2024-08-02T14:15:40.986681', '{"userid":2754319113}']
['2024-08-02T14:15:41.186550', '{"userid":2490720753}']
['2024-08-02T14:15:41.388311', '{"userid":2490720753}']
['2024-08-02T14:15:41.589484', '{"userid":2490720753}']
['2024-08-02T14:15:41.789892', '{"userid":7237083622}']
['2024-08-02T14:15:41.990350', '{"userid":7237083622}']
['2024-08-02T14:15:42.187918', '{"userid":7237083622}']
['2024-08-02T14:15:42.388339', '{"userid":2490720753}']
['2024-08-02T14:15:42.590338', '{"userid":2490720753}']
['2024-08-02T14:15:42.786818', '{"userid":2490720753}']
['2024-08-02T14:15:42.987533', '{"userid":2754319113}']
['2024-08-02T14:15:43.187534', '{"userid":7237083622}']
['2024-08-02T14:15:43.387318', '{"userid":2754319113}']
['2024-08-02T14:15:43.587219', '{"userid":7237083622}']
['2024-08-02T14:15:43.789602', '{"userid":2754319113}']
['2024-08-02T14:15:43.989487', '{"userid":7237083622}']
['2024-08-02T14:15:44.186905', '{"userid":7237083622}']
['2024-08-02T14:15:44.389646', '{"userid":2754319113}']
['2024-08-02T14:15:44.586712', '{"userid":2754319113}']
